Sheet_Def,ADS Name,Variable,Label,Definition (derived Vars),Type,CRF Question,Label_CRF,deriv_info,deriv_info_null,deriv_info_len,Label_len,deriv_info_key_words
Demographics Information,All Datasets,All Datasets_COUNTRY ,Country Code ,Country Code ,C,,Country Code ,Country Code ,False,2,2,Country Code 
Habits,HABITS,HABITS_ALCSTAT,Alcohol Status,"8,2,7,6,5,97",N,Alcohol status,Alcohol Status; Alcohol status,"8,2,7,6,5,97",False,6,2,"8,2,7,6,5,97"
Living Arrangement,LVARR,LVARR_LVLOCAT,Living Location,"1,2",N,Does the subject currently live in an urban or rural (non-urban) location?,Living Location; Does the subject currently live in an urban or rural (non-urban) location?,"1,2",False,2,2,"1,2"
Falls Assessment (FALL-G),FALL,FALL_FALFLLNM,Falls Flag LNM,No or Yes,C,Has the subject had any falls since the last data collection (or in the last three months at the baseline observation)?,Falls Flag LNM; Has the subject had any falls since the last data collection (or in the last three months at the baseline observation)?,No or Yes,False,3,3,No or Yes
Study Treatment,SDYTRT,SDYTRT_ANYTRFL,Any AD treatment Flag,0 or 1 (if any diagnoses have been selected),N,"Has the subject taken any AD treatment since the last data collection (or any ongoing treatment at the baseline observation), including any treatment started at this observation?","Any AD treatment Flag; Has the subject taken any AD treatment since the last data collection (or any ongoing treatment at the baseline observation), including any treatment started at this observation?",0 or 1 (if any diagnoses have been selected),False,9,4,0 or 1 (if any diagnoses have been selected)
Study Treatment,SDYTRT,SDYTRT_SDYTRTSTDTC,Study Treatment Start Date Character,,C,Treatment Start Date,Study Treatment Start Date Character; Treatment Start Date,,True,0,5,
Study Treatment,SDYTRT,SDYTRT_SDYTRTENDTC,Study Treatment End Date Character,,C,Treatment End Date,Study Treatment End Date Character; Treatment End Date,,True,0,5,
Study Treatment,SDYTRT,SDYTRT_SDYTRCHGTP,Treatment Change Type,"     use across subjid for changes in treatment during 12-months interval (Visit 1-7):
1. From one ACHEI to another ACHEI - ACHEI was taken at baseline then it stopped and another ACHEI (only one) started later;
2. From any ACHEI to memantine - ACHEI was taken at baseline then it stopped and memantine started later;
3. Adding memantine to ACHEI - ACHEI was taken at baseline, then memantine was added, and both baseline ACHEI and memantine were taken simulteneously during a certain interval;
4. None at baseline to AChEI - no treatment at baseline was taken then AChEI started (either one or multiple AChEI);
5. None at baseline to Memantine - no treatment at baseline was taken then Memantine started;
6. None at baseline to AChEI and Memantine - no treatment at baseline was taken then AChEI and Memantine were taken simultaneously; 
7. From one AChEI to multiple AChEI â€“ (one ACHEI at baseline then another/multiple ACHEI was added) or (one ACHEI at baseline stops then multiple ACHEI were added);
8. Memantine to AChEI -  Memantine was taken at baseline then it stopped and ACHEI started later;
9. Dropping ACHEI from ACHEI + Memantine
10. Dropping Memantine from ACHEI + Memantine
99. Other - otherwise (E.g. a) patient starts with both A and B at baseline, then A stops, B continues and C is added; b) patient starts with A, then stops it, then continues A again; etc.)

",N,,Treatment Change Type,"     use across subjid for changes in treatment during 12-months interval (Visit 1-7):
1. From one ACHEI to another ACHEI - ACHEI was taken at baseline then it stopped and another ACHEI (only one) started later;
2. From any ACHEI to memantine - ACHEI was taken at baseline then it stopped and memantine started later;
3. Adding memantine to ACHEI - ACHEI was taken at baseline, then memantine was added, and both baseline ACHEI and memantine were taken simulteneously during a certain interval;
4. None at baseline to AChEI - no treatment at baseline was taken then AChEI started (either one or multiple AChEI);
5. None at baseline to Memantine - no treatment at baseline was taken then Memantine started;
6. None at baseline to AChEI and Memantine - no treatment at baseline was taken then AChEI and Memantine were taken simultaneously; 
7. From one AChEI to multiple AChEI â€“ (one ACHEI at baseline then another/multiple ACHEI was added) or (one ACHEI at baseline stops then multiple ACHEI were added);
8. Memantine to AChEI -  Memantine was taken at baseline then it stopped and ACHEI started later;
9. Dropping ACHEI from ACHEI + Memantine
10. Dropping Memantine from ACHEI + Memantine
99. Other - otherwise (E.g. a) patient starts with both A and B at baseline, then A stops, B continues and C is added; b) patient starts with A, then stops it, then continues A again; etc.)

",False,231,3,multiple achei added memantine achei. interval baseline achei treatment baseline. taken achei memantine taken simultaneously. 
Neuropsychiatric Inventory,NPI,NPI_NPIQSNUM ,NPI Question Number,See NPID (NPI Item Detail) definition for NPI Question Numbers,C,,NPI Question Number,See NPID (NPI Item Detail) definition for NPI Question Numbers,False,10,3,See NPID (NPI Item Detail) definition for NPI Question Numbers
Neuropsychiatric Inventory,NPI,NPI_NPICHGBLTR,Change from Baseline to Visit - TR Phase,"Result at current visit - result at BL
Not missing for Total Scores",N,,Change from Baseline to Visit - TR Phase,"Result at current visit - result at BL
Not missing for Total Scores",False,12,7,"Result at current visit - result at BL
Not missing for Total Scores"
