Sheet_Def,Domain,Variable,Label,Type,Codes,Rule for derivation,deriv_info,deriv_info_null,deriv_info_len,Label_len,deriv_info_key_words
ADAS-Cog data per visit,ADADAS,ADADAS_STUDYID,Study Identifier,Char,H8A-JE-B003,,H8A-JE-B003,False,3,2,H8A-JE-B003
ADAS-Cog data per visit,ADADAS,ADADAS_DOMAIN,Domain,Char,ADADAS,ADADAS,ADADAS,False,1,1,ADADAS
ADAS-Cog data per visit,ADADAS,ADADAS_SITEID,Study Site Identifier,Num,,,,True,0,3,
ADAS-Cog data per visit,ADADAS,ADADAS_SITENAM,Study Site Name,Char,,,,True,0,3,
ADAS-Cog data per visit,ADADAS,ADADAS_USUBJID,Unique Subject Identifier,Char,,,,True,0,3,
ADAS-Cog data per visit,ADADAS,ADADAS_SUBJID,Subject Identifier for the Study,Char,,,,True,0,5,
ADAS-Cog data per visit,ADADAS,ADADAS_COUNTRY,Country,Char,Japan,,Japan,False,1,1,Japan
ADAS-Cog data per visit,ADADAS,ADADAS_SEVGRPCD,AD Severity Group - Code,Num,"1, 2, 3",,"1, 2, 3",False,3,4,"1, 2, 3"
ADAS-Cog data per visit,ADADAS,ADADAS_SEVGRP,AD Severity Group,Char,"Mild, Moderate, Moderately severe/Severe",,"Mild, Moderate, Moderately severe/Severe",False,5,3,"Mild, Moderate, Moderately severe/Severe"
ADAS-Cog data per visit,ADADAS,ADADAS_SEVVISCD,AD Severity Group at Visit - Code,Num,"1, 2, 3","20-26 =1, 15-19 =2, <15 = 3, otherwise missing","1, 2, 3; 20-26 =1, 15-19 =2, <15 = 3, otherwise missing",False,13,6,"1, 2, 3; 20-26 =1, 15-19 =2, <15 = 3, otherwise missing"
ADAS-Cog data per visit,ADADAS,ADADAS_SEVGEUCD,AD Severity Group EU GERAS Definition - Code,Numeric,,,,True,0,7,
ADAS-Cog data per visit,ADADAS,ADADAS_SEVGEU,AD Severity Group EU GERAS Definition,Character,"1, 2, 3",,"1, 2, 3",False,3,6,"1, 2, 3"
ADAS-Cog data per visit,ADADAS,ADADAS_CGREL2CD,Caregiver's Relation to Patient - Code,Numeric,"1, 2, 3",,"1, 2, 3",False,3,6,"1, 2, 3"
ADAS-Cog data per visit,ADADAS,ADADAS_CGREL2,Caregiver's Relation to Patient,Character,"Spouse, Adult-child, Other",,"Spouse, Adult-child, Other",False,4,5,"Spouse, Adult-child, Other"
ADAS-Cog data per visit,ADADAS,ADADAS_LTCIPYNB,LTCI Qualified,Numeric,"1, 2",,"1, 2",False,2,2,"1, 2"
ADAS-Cog data per visit,ADADAS,ADADAS_FASFL,Full Analysis Set (FAS) Population Flag,Char,"Y, N",,"Y, N",False,2,6,"Y, N"
ADAS-Cog data per visit,ADADAS,ADADAS_VISITNUM,Visit Number,Num,"1, 2, 3, 4",,"1, 2, 3, 4",False,4,2,"1, 2, 3, 4"
ADAS-Cog data per visit,ADADAS,ADADAS_VISIT,Visit,Char,"Baseline, Month 6, Month 12, Month 18",,"Baseline, Month 6, Month 12, Month 18",False,7,1,"Baseline, Month 6, Month 12, Month 18"
ADAS-Cog data per visit,ADADAS,ADADAS_VSSTAT,Visit performed,Char,"Y, N",,"Y, N",False,2,2,"Y, N"
ADAS-Cog data per visit,ADADAS,ADADAS_ANLFL,Visit used for the analysis,Char,"Y, N",,"Y, N",False,2,5,"Y, N"
