Variable_EU,Variable_JP
ZBIERVAT_ZBIRN_ZBI18,ADZBI_ZBI_Q18
ADAS_ADASRN_ADASS1,ADADAS_ADAS_T11
NPI_NPICHGBLTR,ADNPI_CHG
HABITS_ALCSTAT,ADSL_ALCOCD
ZBIERVAT_ZBIRN_ZBI20,ADZBI_ZBI_Q20
DISPOSIT_DTHDTC ,ADRUDC_CGDTHDT
EQ5D_EQ5RN_EQ5S1,ADEQ5DC_EQ5DC1
TTEVENT_TTERN_TTIN,ADSL_TTINST
MMSE_MMSERN_MMSES10,ADMMSE_MMSE_Q10
NPI_NPIRN_NPIS82,ADNPI_NPIG_DSC
RUD_RUDASMDTC ,ADRUDP_RUDPDTC
ADAS_ADASRN_ADASS2,ADADAS_ADAS_T09
SDYTRT_ANYTRFL,ADTR_ADTTRYN
DISPOSIT_DS,ADRUDC_CGDRSCD
EQ5D_EQ5RN_EQ5S3,ADEQ5DP_EQ5DP3
ZBIERVAT_ZBBLVALTR,ADZBI_ZBITOTB
MHCMBD_DISCDLNM_Depression,ADCCC_CCC01
FALL_FALFLLNM,ADCCP_FALLSYN
SDYTRT_SDYTRTENDTC,ADTR_ADTENDTC
LVARR_LVLOCAT,ADSL_LIVLOCCD
SDYTRT_SDYTRTSTDTC,ADTR_ADTSTDTC
SDYTRT_SDYTRCHGTP,ADTRCH_CHANGECD
ZBIERVAT_ZBIRN_ZBI14,ADZBI_ZBI_Q14
All Datasets_COUNTRY ,ADADAS_COUNTRY
NPI_NPIQSNUM ,ADNPI_PARAMCD
